25
48631

14990 	 23988 	 42132 	 26259 	 13069 	 15111 	 19748 	 9152 	 26742 	 49342 	 49977 	 3329 	 49726 	 27732 	 28379 	 17536 	 54233 	 27152 	 14629 	 4987 	 52096 	 4053 	 27522 	 21115 	 15230 	 50230 	 

55 	 413 	 2116 	 1306 	 1508 	 652 	 183 	 1906 	 1908 	 2604 	 1101 	 1471 	 2321 	 149 	 200 	 1500 	 1885 	 76 	 1100 	 237 	 1193 	 1928 	 1661 	 2593 	 2363 	 
10000000 	 1594 	 570 	 2057 	 1328 	 1010 	 948 	 302 	 235 	 1801 	 626 	 701 	 755 	 791 	 530 	 396 	 1386 	 857 	 1180 	 822 	 1086 	 386 	 731 	 1809 	 916 	 
1620 	 10000000 	 1192 	 657 	 596 	 2305 	 2129 	 1798 	 1675 	 835 	 1349 	 1621 	 1184 	 1051 	 1630 	 1340 	 2445 	 2040 	 2351 	 1647 	 1335 	 1323 	 1168 	 1080 	 1183 	 
529 	 1298 	 10000000 	 1683 	 810 	 1310 	 1171 	 625 	 507 	 1446 	 527 	 489 	 562 	 403 	 611 	 430 	 1511 	 1073 	 1420 	 883 	 802 	 251 	 402 	 1352 	 486 	 
2098 	 724 	 1782 	 10000000 	 997 	 2675 	 2596 	 2361 	 2237 	 502 	 1847 	 2062 	 1617 	 1581 	 2109 	 1885 	 2679 	 2591 	 2636 	 2069 	 1585 	 1848 	 1639 	 931 	 1329 	 
1311 	 681 	 781 	 1024 	 10000000 	 1691 	 1755 	 1425 	 1280 	 788 	 901 	 1154 	 760 	 613 	 1202 	 1099 	 1919 	 1683 	 1859 	 1149 	 877 	 976 	 762 	 760 	 640 	 
1157 	 2219 	 1337 	 2688 	 1746 	 10000000 	 359 	 1021 	 965 	 2254 	 999 	 775 	 1090 	 1370 	 693 	 1350 	 365 	 340 	 250 	 802 	 1188 	 1287 	 1136 	 2158 	 1443 	 
828 	 2104 	 1086 	 2505 	 1693 	 259 	 10000000 	 973 	 760 	 2237 	 835 	 725 	 971 	 1103 	 605 	 1228 	 536 	 55 	 494 	 552 	 1166 	 1067 	 975 	 1909 	 1240 	 
191 	 1685 	 699 	 2275 	 1396 	 1117 	 793 	 10000000 	 388 	 2017 	 798 	 692 	 985 	 1056 	 678 	 446 	 1349 	 869 	 1149 	 937 	 1247 	 405 	 817 	 1966 	 1192 	 
218 	 1674 	 527 	 2145 	 1367 	 1010 	 797 	 414 	 10000000 	 1942 	 697 	 571 	 900 	 794 	 453 	 516 	 1095 	 620 	 1004 	 759 	 938 	 525 	 616 	 1761 	 1021 	 
1893 	 857 	 1592 	 637 	 781 	 2324 	 2206 	 2134 	 2015 	 10000000 	 1545 	 1650 	 1259 	 1171 	 1710 	 1717 	 2378 	 2142 	 2444 	 1630 	 1321 	 1687 	 1396 	 379 	 1016 	 
661 	 1317 	 536 	 1818 	 894 	 1085 	 781 	 765 	 593 	 1408 	 10000000 	 324 	 305 	 465 	 345 	 788 	 1130 	 840 	 1181 	 508 	 451 	 670 	 190 	 1401 	 417 	 
674 	 1627 	 581 	 1893 	 1169 	 830 	 720 	 746 	 439 	 1583 	 367 	 10000000 	 538 	 649 	 218 	 788 	 1032 	 542 	 897 	 371 	 569 	 610 	 435 	 1537 	 590 	 
787 	 1290 	 571 	 1604 	 683 	 1204 	 1060 	 957 	 886 	 1354 	 298 	 548 	 10000000 	 329 	 633 	 938 	 1378 	 1024 	 1317 	 496 	 333 	 850 	 228 	 1131 	 255 	 
777 	 1067 	 500 	 1585 	 537 	 1246 	 1107 	 1017 	 914 	 1158 	 332 	 691 	 237 	 10000000 	 747 	 721 	 1415 	 1138 	 1421 	 748 	 458 	 712 	 235 	 1017 	 212 	 
435 	 1751 	 630 	 2112 	 1153 	 813 	 636 	 593 	 500 	 1694 	 300 	 221 	 687 	 770 	 10000000 	 838 	 1006 	 610 	 840 	 474 	 665 	 665 	 441 	 1511 	 774 	 
431 	 1370 	 450 	 1957 	 1179 	 1365 	 1170 	 535 	 491 	 1737 	 748 	 830 	 851 	 722 	 833 	 10000000 	 1525 	 1020 	 1406 	 1056 	 1019 	 222 	 650 	 1587 	 855 	 
1296 	 2528 	 1427 	 2756 	 1977 	 341 	 498 	 1248 	 1190 	 2386 	 1188 	 919 	 1229 	 1426 	 1066 	 1532 	 10000000 	 660 	 234 	 867 	 1324 	 1566 	 1348 	 2090 	 1545 	 
852 	 2102 	 1065 	 2400 	 1616 	 453 	 197 	 835 	 669 	 2197 	 776 	 587 	 1079 	 1176 	 513 	 1029 	 646 	 10000000 	 514 	 510 	 1137 	 910 	 1010 	 1930 	 1195 	 
1211 	 2373 	 1386 	 2680 	 1920 	 126 	 517 	 1171 	 1002 	 2443 	 1103 	 874 	 1281 	 1419 	 956 	 1399 	 270 	 525 	 10000000 	 760 	 1147 	 1400 	 1312 	 2171 	 1429 	 
724 	 1780 	 820 	 2057 	 1171 	 727 	 593 	 968 	 816 	 1665 	 407 	 378 	 544 	 650 	 371 	 1105 	 751 	 632 	 867 	 10000000 	 500 	 842 	 653 	 1372 	 783 	 
1006 	 1476 	 841 	 1601 	 716 	 1189 	 1123 	 1257 	 971 	 1209 	 509 	 619 	 305 	 616 	 717 	 1000 	 1176 	 1108 	 1207 	 543 	 10000000 	 985 	 462 	 1107 	 461 	 
405 	 1422 	 318 	 1919 	 1060 	 1276 	 1026 	 421 	 535 	 1664 	 617 	 661 	 746 	 743 	 684 	 329 	 1492 	 905 	 1453 	 883 	 922 	 10000000 	 560 	 1625 	 719 	 
547 	 1190 	 346 	 1639 	 719 	 1247 	 1035 	 782 	 683 	 1315 	 252 	 505 	 226 	 265 	 594 	 686 	 1413 	 864 	 1313 	 571 	 522 	 615 	 10000000 	 1222 	 415 	 
1696 	 963 	 1415 	 867 	 622 	 1983 	 1924 	 1991 	 1750 	 353 	 1257 	 1481 	 1016 	 1107 	 1503 	 1647 	 2200 	 1955 	 2106 	 1420 	 1064 	 1543 	 1228 	 10000000 	 876 	 
953 	 1030 	 538 	 1442 	 452 	 1412 	 1251 	 1052 	 834 	 1111 	 525 	 582 	 185 	 229 	 692 	 924 	 1569 	 1238 	 1420 	 766 	 424 	 874 	 430 	 1024 	 10000000 	 
