12
25653

20730 	 17927 	 2000 	 17380 	 24344 	 7504 	 12008 	 21091 	 13145 	 6542 	 7564 	 9885 	 4581 	 

1 	 679 	 3899 	 2367 	 2750 	 1130 	 243 	 3503 	 3506 	 4824 	 1979 	 2681 	 
1 	 27 	 27 	 27 	 11 	 61 	 61 	 61 	 69 	 69 	 69 	 69 	 
37 	 1 	 1 	 1 	 37 	 7 	 7 	 7 	 11 	 11 	 11 	 11 	 
37 	 1 	 1 	 1 	 37 	 7 	 7 	 7 	 11 	 11 	 11 	 11 	 
37 	 1 	 1 	 1 	 37 	 7 	 7 	 7 	 11 	 11 	 11 	 11 	 
11 	 27 	 27 	 27 	 1 	 27 	 27 	 27 	 31 	 31 	 31 	 31 	 
75 	 7 	 7 	 7 	 37 	 1 	 1 	 1 	 5 	 5 	 5 	 5 	 
75 	 7 	 7 	 7 	 37 	 1 	 1 	 1 	 5 	 5 	 5 	 5 	 
75 	 7 	 7 	 7 	 37 	 1 	 1 	 1 	 5 	 5 	 5 	 5 	 
83 	 11 	 11 	 11 	 41 	 5 	 5 	 5 	 1 	 1 	 1 	 1 	 
83 	 11 	 11 	 11 	 41 	 5 	 5 	 5 	 1 	 1 	 1 	 1 	 
83 	 11 	 11 	 11 	 41 	 5 	 5 	 5 	 1 	 1 	 1 	 1 	 
83 	 11 	 11 	 11 	 41 	 5 	 5 	 5 	 1 	 1 	 1 	 1 	 
