12
4735

3093 	 3698 	 4846 	 1786 	 1208 	 4804 	 3533 	 3683 	 3185 	 355 	 3088 	 4326 	 1333 	 

8 	 50 	 253 	 157 	 181 	 79 	 23 	 228 	 228 	 311 	 132 	 176 	 
100000001 	 27 	 83 	 66 	 103 	 101 	 148 	 135 	 70 	 118 	 126 	 39 	 
67 	 100000001 	 57 	 40 	 77 	 110 	 157 	 141 	 136 	 184 	 191 	 105 	 
44 	 58 	 100000001 	 17 	 21 	 54 	 101 	 85 	 108 	 156 	 169 	 82 	 
28 	 42 	 63 	 100000001 	 83 	 98 	 145 	 132 	 97 	 145 	 153 	 66 	 
107 	 121 	 64 	 80 	 100000001 	 34 	 81 	 65 	 88 	 136 	 209 	 131 	 
110 	 136 	 162 	 175 	 143 	 100000001 	 48 	 35 	 55 	 103 	 176 	 98 	 
158 	 172 	 115 	 131 	 96 	 61 	 100000001 	 41 	 115 	 163 	 236 	 158 	 
144 	 170 	 133 	 149 	 114 	 35 	 32 	 100000001 	 89 	 134 	 210 	 132 	 
96 	 122 	 178 	 161 	 197 	 55 	 102 	 89 	 100000001 	 49 	 159 	 84 	 
80 	 106 	 162 	 145 	 182 	 92 	 139 	 126 	 38 	 100000001 	 115 	 68 	 
205 	 231 	 287 	 270 	 307 	 217 	 256 	 238 	 163 	 126 	 100000001 	 193 	 
39 	 65 	 121 	 104 	 141 	 89 	 136 	 123 	 58 	 106 	 88 	 100000001 	 
