15
70932

36325 	 27868 	 20101 	 66295 	 38432 	 33694 	 68266 	 3633 	 55246 	 55876 	 60056 	 9095 	 1151 	 49946 	 62989 	 45672 	 

332 	 628 	 2037 	 1367 	 1534 	 826 	 438 	 1864 	 1865 	 2441 	 1197 	 1504 	 2207 	 410 	 452 	 
10000000 	 376 	 1001 	 1012 	 854 	 951 	 937 	 1028 	 1102 	 1236 	 1280 	 1110 	 1142 	 977 	 1390 	 
610 	 10000000 	 1069 	 981 	 1030 	 977 	 1069 	 1145 	 1101 	 1343 	 1263 	 1098 	 1305 	 1218 	 1495 	 
670 	 420 	 10000000 	 889 	 529 	 956 	 990 	 990 	 795 	 1186 	 1056 	 988 	 934 	 1010 	 1023 	 
666 	 646 	 665 	 10000000 	 560 	 492 	 529 	 593 	 506 	 770 	 681 	 577 	 794 	 725 	 997 	 
633 	 607 	 507 	 677 	 10000000 	 660 	 743 	 782 	 583 	 927 	 779 	 866 	 869 	 621 	 799 	 
713 	 374 	 622 	 442 	 417 	 10000000 	 442 	 667 	 566 	 525 	 542 	 508 	 804 	 575 	 681 	 
413 	 703 	 567 	 535 	 474 	 745 	 10000000 	 624 	 691 	 766 	 771 	 527 	 700 	 753 	 987 	 
827 	 667 	 683 	 536 	 669 	 661 	 706 	 10000000 	 689 	 862 	 756 	 707 	 767 	 496 	 694 	 
875 	 916 	 805 	 787 	 737 	 874 	 726 	 492 	 10000000 	 730 	 750 	 579 	 642 	 758 	 748 	 
807 	 920 	 993 	 827 	 941 	 684 	 914 	 471 	 457 	 10000000 	 729 	 556 	 654 	 587 	 803 	 
774 	 961 	 1031 	 781 	 703 	 971 	 967 	 698 	 560 	 473 	 10000000 	 804 	 610 	 744 	 613 	 
806 	 664 	 763 	 641 	 788 	 633 	 871 	 476 	 382 	 586 	 502 	 10000000 	 629 	 578 	 807 	 
911 	 778 	 917 	 663 	 852 	 938 	 746 	 696 	 528 	 529 	 403 	 534 	 10000000 	 910 	 670 	 
1059 	 767 	 1031 	 851 	 963 	 823 	 866 	 656 	 472 	 626 	 581 	 656 	 609 	 10000000 	 704 	 
936 	 774 	 824 	 885 	 767 	 685 	 736 	 664 	 572 	 614 	 480 	 686 	 683 	 644 	 10000000 	 
