20
7279

4364 	 2351 	 801 	 8373 	 651 	 4423 	 3393 	 2448 	 8073 	 4680 	 4103 	 8313 	 442 	 6727 	 6804 	 7313 	 1107 	 140 	 6082 	 7670 	 5562 	 

6 	 51 	 265 	 163 	 188 	 81 	 22 	 238 	 238 	 326 	 137 	 184 	 291 	 17 	 24 	 187 	 236 	 8 	 137 	 28 	 
100000001 	 27 	 83 	 66 	 103 	 101 	 148 	 76 	 70 	 118 	 43 	 90 	 126 	 39 	 41 	 14 	 39 	 32 	 23 	 104 	 
67 	 100000001 	 57 	 40 	 77 	 110 	 157 	 142 	 136 	 184 	 109 	 156 	 191 	 105 	 77 	 80 	 105 	 98 	 89 	 131 	 
44 	 58 	 100000001 	 17 	 21 	 54 	 101 	 88 	 108 	 156 	 86 	 133 	 169 	 82 	 54 	 57 	 82 	 75 	 66 	 147 	 
28 	 42 	 63 	 100000001 	 83 	 98 	 145 	 103 	 97 	 145 	 70 	 117 	 153 	 66 	 38 	 41 	 66 	 59 	 50 	 131 	 
107 	 121 	 64 	 80 	 100000001 	 34 	 81 	 68 	 88 	 136 	 101 	 148 	 209 	 131 	 117 	 120 	 145 	 138 	 129 	 210 	 
110 	 136 	 162 	 175 	 143 	 100000001 	 48 	 35 	 55 	 103 	 68 	 115 	 176 	 98 	 98 	 97 	 129 	 136 	 132 	 199 	 
158 	 172 	 115 	 131 	 96 	 61 	 100000001 	 95 	 115 	 163 	 128 	 175 	 236 	 158 	 158 	 157 	 189 	 189 	 180 	 259 	 
76 	 102 	 158 	 141 	 177 	 35 	 82 	 100000001 	 21 	 69 	 34 	 81 	 142 	 64 	 64 	 63 	 95 	 102 	 98 	 165 	 
96 	 122 	 178 	 161 	 197 	 55 	 102 	 21 	 100000001 	 49 	 54 	 101 	 159 	 84 	 84 	 83 	 115 	 122 	 118 	 185 	 
80 	 106 	 162 	 145 	 182 	 92 	 139 	 58 	 38 	 100000001 	 38 	 54 	 115 	 68 	 68 	 67 	 99 	 106 	 102 	 138 	 
43 	 69 	 125 	 108 	 145 	 68 	 115 	 34 	 28 	 76 	 100000001 	 48 	 109 	 31 	 31 	 30 	 62 	 69 	 65 	 132 	 
84 	 110 	 166 	 149 	 186 	 109 	 156 	 75 	 69 	 89 	 42 	 100000001 	 62 	 72 	 72 	 71 	 103 	 110 	 106 	 85 	 
205 	 231 	 287 	 270 	 307 	 217 	 256 	 183 	 163 	 126 	 163 	 124 	 100000001 	 193 	 193 	 192 	 224 	 231 	 227 	 145 	 
39 	 65 	 121 	 104 	 141 	 89 	 136 	 64 	 58 	 106 	 31 	 78 	 88 	 100000001 	 29 	 26 	 32 	 39 	 48 	 111 	 
152 	 178 	 222 	 217 	 203 	 61 	 108 	 77 	 97 	 145 	 110 	 157 	 218 	 140 	 100000001 	 139 	 171 	 178 	 174 	 241 	 
14 	 40 	 96 	 79 	 116 	 88 	 135 	 63 	 57 	 105 	 30 	 77 	 113 	 26 	 28 	 100000001 	 33 	 40 	 36 	 117 	 
39 	 49 	 105 	 88 	 125 	 120 	 167 	 95 	 89 	 137 	 62 	 109 	 119 	 32 	 60 	 33 	 100000001 	 8 	 17 	 124 	 
32 	 42 	 98 	 81 	 118 	 116 	 163 	 91 	 85 	 133 	 58 	 105 	 115 	 28 	 56 	 29 	 8 	 100000001 	 10 	 117 	 
23 	 33 	 89 	 72 	 109 	 123 	 170 	 98 	 92 	 140 	 65 	 112 	 124 	 37 	 63 	 36 	 17 	 10 	 100000001 	 108 	 
109 	 135 	 191 	 174 	 211 	 134 	 181 	 100 	 94 	 114 	 67 	 86 	 61 	 97 	 97 	 96 	 128 	 135 	 131 	 100000001 	 
