12
25482

23291 	 2424 	 4265 	 1868 	 9608 	 6655 	 3553 	 20596 	 11974 	 9192 	 11895 	 21274 	 24502 	 

5 	 52 	 280 	 171 	 198 	 84 	 22 	 252 	 252 	 345 	 144 	 194 	 
100000001 	 10 	 16 	 20 	 40 	 51 	 68 	 56 	 76 	 59 	 68 	 86 	 
10 	 100000001 	 7 	 27 	 47 	 58 	 75 	 63 	 83 	 66 	 75 	 77 	 
16 	 7 	 100000001 	 21 	 41 	 52 	 69 	 57 	 77 	 60 	 69 	 83 	 
76 	 67 	 61 	 100000001 	 21 	 32 	 49 	 37 	 57 	 40 	 49 	 113 	 
56 	 47 	 41 	 54 	 100000001 	 12 	 29 	 17 	 37 	 20 	 29 	 93 	 
48 	 57 	 63 	 43 	 63 	 100000001 	 57 	 67 	 87 	 82 	 91 	 133 	 
83 	 74 	 68 	 88 	 73 	 84 	 100000001 	 11 	 31 	 47 	 56 	 120 	 
73 	 64 	 58 	 78 	 63 	 74 	 91 	 100000001 	 21 	 37 	 46 	 110 	 
53 	 44 	 38 	 58 	 43 	 54 	 71 	 59 	 100000001 	 17 	 26 	 90 	 
37 	 28 	 22 	 42 	 27 	 38 	 55 	 43 	 63 	 100000001 	 10 	 74 	 
189 	 180 	 186 	 206 	 226 	 237 	 254 	 230 	 250 	 245 	 100000001 	 65 	 
147 	 138 	 144 	 164 	 184 	 195 	 212 	 188 	 208 	 203 	 11 	 100000001 	 
