15
25482

23291 	 2424 	 4265 	 1868 	 9608 	 6655 	 3553 	 20596 	 11974 	 9192 	 11895 	 21274 	 24502 	 17137 	 5660 	 17872 	 

5 	 52 	 280 	 171 	 198 	 84 	 22 	 252 	 252 	 345 	 144 	 194 	 307 	 17 	 24 	 
100000001 	 10 	 16 	 20 	 40 	 51 	 68 	 56 	 76 	 59 	 68 	 86 	 100 	 101 	 96 	 
10 	 100000001 	 7 	 27 	 47 	 58 	 75 	 63 	 83 	 66 	 75 	 77 	 91 	 105 	 103 	 
16 	 7 	 100000001 	 21 	 41 	 52 	 69 	 57 	 77 	 60 	 69 	 83 	 97 	 102 	 97 	 
76 	 67 	 61 	 100000001 	 21 	 32 	 49 	 37 	 57 	 40 	 49 	 113 	 127 	 82 	 77 	 
56 	 47 	 41 	 54 	 100000001 	 12 	 29 	 17 	 37 	 20 	 29 	 93 	 107 	 62 	 57 	 
48 	 57 	 63 	 43 	 63 	 100000001 	 57 	 67 	 87 	 82 	 91 	 133 	 147 	 112 	 107 	 
83 	 74 	 68 	 88 	 73 	 84 	 100000001 	 11 	 31 	 47 	 56 	 120 	 134 	 56 	 51 	 
73 	 64 	 58 	 78 	 63 	 74 	 91 	 100000001 	 21 	 37 	 46 	 110 	 124 	 46 	 41 	 
53 	 44 	 38 	 58 	 43 	 54 	 71 	 59 	 100000001 	 17 	 26 	 90 	 104 	 26 	 21 	 
37 	 28 	 22 	 42 	 27 	 38 	 55 	 43 	 63 	 100000001 	 10 	 74 	 88 	 88 	 83 	 
189 	 180 	 186 	 206 	 226 	 237 	 254 	 230 	 250 	 245 	 100000001 	 65 	 79 	 93 	 231 	 
147 	 138 	 144 	 164 	 184 	 195 	 212 	 188 	 208 	 203 	 11 	 100000001 	 15 	 29 	 189 	 
139 	 130 	 136 	 156 	 176 	 187 	 204 	 180 	 200 	 195 	 93 	 83 	 100000001 	 15 	 181 	 
147 	 138 	 144 	 164 	 184 	 195 	 212 	 170 	 190 	 203 	 101 	 91 	 105 	 100000001 	 171 	 
116 	 107 	 101 	 121 	 106 	 117 	 92 	 44 	 64 	 80 	 89 	 96 	 110 	 6 	 100000001 	 
