12
48631

14990 	 23988 	 42132 	 26259 	 13069 	 15111 	 19748 	 9152 	 26742 	 49342 	 49977 	 3329 	 49726 	 

55 	 413 	 2116 	 1306 	 1508 	 652 	 183 	 1906 	 1908 	 2604 	 1101 	 1471 	 
10000000 	 1594 	 570 	 2057 	 1328 	 1010 	 948 	 302 	 235 	 1801 	 626 	 701 	 
1620 	 10000000 	 1192 	 657 	 596 	 2305 	 2129 	 1798 	 1675 	 835 	 1349 	 1621 	 
529 	 1298 	 10000000 	 1683 	 810 	 1310 	 1171 	 625 	 507 	 1446 	 527 	 489 	 
2098 	 724 	 1782 	 10000000 	 997 	 2675 	 2596 	 2361 	 2237 	 502 	 1847 	 2062 	 
1311 	 681 	 781 	 1024 	 10000000 	 1691 	 1755 	 1425 	 1280 	 788 	 901 	 1154 	 
1157 	 2219 	 1337 	 2688 	 1746 	 10000000 	 359 	 1021 	 965 	 2254 	 999 	 775 	 
828 	 2104 	 1086 	 2505 	 1693 	 259 	 10000000 	 973 	 760 	 2237 	 835 	 725 	 
191 	 1685 	 699 	 2275 	 1396 	 1117 	 793 	 10000000 	 388 	 2017 	 798 	 692 	 
218 	 1674 	 527 	 2145 	 1367 	 1010 	 797 	 414 	 10000000 	 1942 	 697 	 571 	 
1893 	 857 	 1592 	 637 	 781 	 2324 	 2206 	 2134 	 2015 	 10000000 	 1545 	 1650 	 
661 	 1317 	 536 	 1818 	 894 	 1085 	 781 	 765 	 593 	 1408 	 10000000 	 324 	 
674 	 1627 	 581 	 1893 	 1169 	 830 	 720 	 746 	 439 	 1583 	 367 	 10000000 	 
