25
7938

7302 	 9543 	 4423 	 12924 	 23846 	 24153 	 1608 	 24032 	 13402 	 13715 	 8475 	 26210 	 13122 	 7070 	 2410 	 25177 	 1959 	 13301 	 10204 	 7360 	 24275 	 14072 	 12338 	 24997 	 1330 	 20229 	 

22 	 260 	 1391 	 853 	 987 	 418 	 107 	 1252 	 1253 	 1716 	 717 	 963 	 1528 	 84 	 118 	 982 	 1238 	 35 	 717 	 143 	 778 	 1267 	 1089 	 1708 	 1556 	 
10000000 	 224 	 211 	 126 	 246 	 364 	 323 	 389 	 291 	 342 	 268 	 282 	 259 	 248 	 303 	 326 	 312 	 277 	 393 	 476 	 418 	 325 	 373 	 438 	 611 	 
59 	 10000000 	 180 	 101 	 288 	 156 	 117 	 171 	 75 	 138 	 240 	 261 	 235 	 222 	 283 	 295 	 287 	 252 	 435 	 513 	 410 	 368 	 407 	 411 	 599 	 
61 	 110 	 10000000 	 81 	 296 	 247 	 210 	 271 	 175 	 226 	 228 	 180 	 222 	 213 	 263 	 132 	 118 	 80 	 383 	 432 	 264 	 310 	 322 	 236 	 453 	 
59 	 116 	 99 	 10000000 	 286 	 256 	 216 	 280 	 179 	 233 	 155 	 177 	 158 	 137 	 195 	 220 	 208 	 171 	 430 	 517 	 327 	 367 	 412 	 324 	 518 	 
94 	 59 	 64 	 91 	 10000000 	 195 	 161 	 211 	 118 	 175 	 239 	 236 	 232 	 225 	 281 	 176 	 172 	 134 	 282 	 268 	 222 	 249 	 140 	 287 	 416 	 
532 	 594 	 585 	 500 	 766 	 10000000 	 345 	 406 	 310 	 361 	 632 	 655 	 633 	 623 	 680 	 698 	 686 	 648 	 910 	 993 	 808 	 848 	 888 	 810 	 1000 	 
418 	 485 	 470 	 385 	 652 	 56 	 10000000 	 258 	 191 	 181 	 520 	 548 	 525 	 507 	 564 	 587 	 574 	 534 	 804 	 876 	 694 	 734 	 778 	 693 	 889 	 
467 	 522 	 507 	 428 	 694 	 87 	 112 	 10000000 	 237 	 276 	 567 	 586 	 506 	 547 	 553 	 622 	 619 	 575 	 805 	 864 	 595 	 496 	 734 	 736 	 791 	 
244 	 310 	 286 	 206 	 469 	 93 	 55 	 112 	 10000000 	 70 	 343 	 367 	 346 	 327 	 386 	 407 	 392 	 351 	 620 	 706 	 511 	 553 	 600 	 512 	 708 	 
263 	 322 	 303 	 223 	 492 	 82 	 69 	 100 	 33 	 10000000 	 360 	 387 	 358 	 341 	 401 	 425 	 410 	 372 	 640 	 715 	 537 	 570 	 612 	 529 	 729 	 
362 	 417 	 405 	 318 	 436 	 523 	 513 	 545 	 472 	 450 	 10000000 	 195 	 180 	 328 	 229 	 442 	 439 	 393 	 481 	 561 	 358 	 402 	 555 	 558 	 550 	 
183 	 242 	 230 	 135 	 412 	 377 	 342 	 403 	 303 	 315 	 115 	 10000000 	 196 	 185 	 247 	 305 	 289 	 259 	 500 	 584 	 377 	 421 	 495 	 412 	 569 	 
272 	 306 	 316 	 225 	 272 	 355 	 342 	 375 	 302 	 284 	 111 	 106 	 10000000 	 165 	 61 	 277 	 264 	 234 	 314 	 401 	 187 	 242 	 396 	 390 	 388 	 
217 	 278 	 260 	 177 	 282 	 210 	 200 	 228 	 156 	 141 	 36 	 55 	 25 	 10000000 	 78 	 133 	 126 	 80 	 332 	 412 	 205 	 254 	 330 	 247 	 401 	 
276 	 339 	 328 	 243 	 345 	 301 	 294 	 332 	 257 	 242 	 123 	 120 	 100 	 112 	 10000000 	 231 	 221 	 182 	 401 	 480 	 145 	 198 	 372 	 341 	 338 	 
370 	 330 	 452 	 412 	 405 	 406 	 368 	 423 	 325 	 379 	 346 	 394 	 515 	 540 	 562 	 10000000 	 330 	 298 	 265 	 314 	 406 	 313 	 529 	 447 	 597 	 
247 	 306 	 287 	 205 	 417 	 354 	 318 	 375 	 277 	 332 	 182 	 76 	 267 	 253 	 308 	 25 	 10000000 	 311 	 276 	 325 	 159 	 208 	 226 	 137 	 357 	 
279 	 344 	 326 	 244 	 451 	 391 	 354 	 418 	 316 	 368 	 216 	 116 	 302 	 294 	 350 	 66 	 49 	 10000000 	 309 	 366 	 196 	 244 	 262 	 176 	 389 	 
